31/12/12 22.00,0.0
31/12/12 22.30,0.0
31/12/12 23.00,0.0
31/12/12 23.30,0.0
01/01/13 00.00,0.0
01/01/13 00.30,0.0
01/01/13 01.00,0.0
01/01/13 01.30,0.0
01/01/13 02.00,0.0
01/01/13 02.30,0.0
01/01/13 03.00,0.0
01/01/13 03.30,0.0
01/01/13 04.00,0.0
01/01/13 04.30,0.0
01/01/13 05.00,0.0
01/01/13 05.30,0.0
01/01/13 06.00,0.0
01/01/13 06.30,0.0
01/01/13 07.00,0.0
01/01/13 07.30,0.0
01/01/13 08.00,0.0
01/01/13 08.30,0.0
01/01/13 09.00,0.0
01/01/13 09.30,0.0
01/01/13 10.00,0.0
01/01/13 10.30,0.0
01/01/13 11.00,0.0
01/01/13 11.30,0.0
01/01/13 12.00,0.0
01/01/13 12.30,0.0
01/01/13 13.00,0.0
01/01/13 13.30,0.0
01/01/13 14.00,0.0
01/01/13 14.30,0.0
01/01/13 15.00,0.0
01/01/13 15.30,0.0
01/01/13 16.00,0.0
01/01/13 16.30,0.0
01/01/13 17.00,0.0
01/01/13 17.30,0.0
01/01/13 18.00,0.0
01/01/13 18.30,0.0
01/01/13 19.00,0.0
01/01/13 19.30,0.0
01/01/13 20.00,0.0
01/01/13 20.30,0.0
01/01/13 21.00,0.0
01/01/13 21.30,0.0
01/01/13 22.00,0.0
01/01/13 22.30,0.0
01/01/13 23.00,0.0
01/01/13 23.30,0.0
02/01/13 00.00,0.0
02/01/13 00.30,0.0
02/01/13 01.00,0.0
02/01/13 01.30,0.0
02/01/13 02.00,0.0
02/01/13 02.30,0.0
02/01/13 03.00,0.0
02/01/13 03.30,0.0
02/01/13 04.00,0.0
02/01/13 04.30,0.0
02/01/13 05.00,0.0
02/01/13 05.30,0.0
02/01/13 06.00,0.0
02/01/13 06.30,0.0
02/01/13 07.00,0.0
02/01/13 07.30,0.0
02/01/13 08.00,0.0
02/01/13 08.30,0.0
02/01/13 09.00,0.0
02/01/13 09.30,0.0
02/01/13 10.00,0.0
02/01/13 10.30,0.0
02/01/13 11.00,0.4
02/01/13 11.30,0.4
02/01/13 12.00,0.8
02/01/13 12.30,0.8
02/01/13 13.00,0.8
02/01/13 13.30,0.6
02/01/13 14.00,0.4
02/01/13 14.30,0.0
02/01/13 15.00,0.2
02/01/13 15.30,0.2
02/01/13 16.00,0.0
02/01/13 16.30,0.0
02/01/13 17.00,0.0
02/01/13 17.30,0.0
02/01/13 18.00,0.0
02/01/13 18.30,0.0
02/01/13 19.00,0.0
02/01/13 19.30,0.0
02/01/13 20.00,0.0
02/01/13 20.30,0.0
02/01/13 21.00,0.0
02/01/13 21.30,0.0
02/01/13 22.00,0.0
02/01/13 22.30,0.0
02/01/13 23.00,0.0
02/01/13 23.30,0.0
03/01/13 00.00,0.0
03/01/13 00.30,0.0
03/01/13 01.00,0.0
03/01/13 01.30,0.0
03/01/13 02.00,0.0
03/01/13 02.30,0.0
03/01/13 03.00,0.0
03/01/13 03.30,0.0
03/01/13 04.00,0.0
03/01/13 04.30,0.0
03/01/13 05.00,0.0
03/01/13 05.30,0.0
03/01/13 06.00,0.0
03/01/13 06.30,0.0
03/01/13 07.00,0.0
03/01/13 07.30,0.0
03/01/13 08.00,0.0
03/01/13 08.30,0.0
03/01/13 09.00,0.0
03/01/13 09.30,0.0
